team,winter,summer,country,sport
BC Lions,-8,-7,Canada,Am. Football
Calgary Stampeders,-7,-6,Canada,Am. Football
Edmonton Elks,-7,-6,Canada,Am. Football
Hamilton Tiger-Cats,-5,-4,Canada,Am. Football
Montreal Alouettes,-5,-4,Canada,Am. Football
Ottawa Redblacks,-5,-4,Canada,Am. Football
Saskatchewan Roughriders,-6,-6,Canada,Am. Football
Toronto Argonauts,-5,-4,Canada,Am. Football
Winnipeg Blue Bombers,-6,-5,Canada,Am. Football
Abilene Christian,-6,-5,United States,Am. Football
Air Force,-7,-6,United States,Am. Football
Akron,-5,-4,United States,Am. Football
Alabama,-6,-5,United States,Am. Football
Alabama A and M,-6,-5,United States,Am. Football
Alabama State,-6,-5,United States,Am. Football
Albany,-5,-4,United States,Am. Football
Alcorn State,-6,-5,United States,Am. Football
American,-5,-4,United States,Am. Football
Appalachian State,-5,-4,United States,Am. Football
Arizona,-7,-7,United States,Am. Football
Arizona Cardinals,-7,-7,United States,Am. Football
Arizona State,-7,-7,United States,Am. Football
Arkansas,-6,-5,United States,Am. Football
Arkansas State,-6,-5,United States,Am. Football
Arkansas-Pine Bluff,-6,-5,United States,Am. Football
Army,-5,-4,United States,Am. Football
Atlanta Falcons,-5,-4,United States,Am. Football
Auburn,-6,-5,United States,Am. Football
Austin Peay,-6,-5,United States,Am. Football
Ball State,-5,-4,United States,Am. Football
Baltimore Ravens,-5,-4,United States,Am. Football
Baylor,-6,-5,United States,Am. Football
Bethune-Cookman,-5,-4,United States,Am. Football
Boise State,-7,-6,United States,Am. Football
Boston College,-5,-4,United States,Am. Football
Boston University,-5,-4,United States,Am. Football
Bowling Green,-5,-4,United States,Am. Football
Brown,-5,-4,United States,Am. Football
Bryant,-5,-4,United States,Am. Football
Bucknell,-5,-4,United States,Am. Football
Buffalo,-5,-4,United States,Am. Football
Buffalo Bills,-5,-4,United States,Am. Football
Butler,-5,-4,United States,Am. Football
BYU,-7,-6,United States,Am. Football
Cal Poly,-8,-7,United States,Am. Football
California,-8,-7,United States,Am. Football
Campbell,-5,-4,United States,Am. Football
Carolina Panthers,-5,-4,United States,Am. Football
Central Arkansas,-6,-5,United States,Am. Football
Central Connecticut,-5,-4,United States,Am. Football
Central Michigan,-5,-4,United States,Am. Football
Charleston Southern,-5,-4,United States,Am. Football
Charlotte,-5,-4,United States,Am. Football
Chattanooga,-5,-4,United States,Am. Football
Chicago Bears,-6,-5,United States,Am. Football
Cincinnati,-5,-4,United States,Am. Football
Cincinnati Bengals,-5,-4,United States,Am. Football
Clemson,-5,-4,United States,Am. Football
Cleveland Browns,-5,-4,United States,Am. Football
Coastal Carolina,-5,-4,United States,Am. Football
Colgate,-5,-4,United States,Am. Football
Colorado,-7,-6,United States,Am. Football
Colorado State,-7,-6,United States,Am. Football
Columbia,-5,-4,United States,Am. Football
Coppin State,-5,-4,United States,Am. Football
Cornell,-5,-4,United States,Am. Football
Dallas Cowboys,-6,-5,United States,Am. Football
Dartmouth,-5,-4,United States,Am. Football
Davidson,-5,-4,United States,Am. Football
Dayton,-5,-4,United States,Am. Football
Delaware,-5,-4,United States,Am. Football
Delaware State,-5,-4,United States,Am. Football
Denver Broncos,-7,-6,United States,Am. Football
Detroit Lions,-5,-4,United States,Am. Football
Dixie State,-7,-6,United States,Am. Football
Drake,-6,-5,United States,Am. Football
Duke,-5,-4,United States,Am. Football
Duquesne,-5,-4,United States,Am. Football
East Carolina,-5,-4,United States,Am. Football
East Tennessee State,-5,-4,United States,Am. Football
Eastern Illinois,-6,-5,United States,Am. Football
Eastern Kentucky,-5,-4,United States,Am. Football
Eastern Michigan,-5,-4,United States,Am. Football
Eastern Washington,-8,-7,United States,Am. Football
Elon,-5,-4,United States,Am. Football
Fairleigh Dickinson,-5,-4,United States,Am. Football
FIU,-5,-4,United States,Am. Football
Florida,-5,-4,United States,Am. Football
Florida A and M,-5,-4,United States,Am. Football
Florida Atlantic,-5,-4,United States,Am. Football
Florida State,-5,-4,United States,Am. Football
Fordham,-5,-4,United States,Am. Football
Fresno State,-8,-7,United States,Am. Football
Furman,-5,-4,United States,Am. Football
Gardner-Webb,-5,-4,United States,Am. Football
Georgetown,-5,-4,United States,Am. Football
Georgia,-5,-4,United States,Am. Football
Georgia Southern,-5,-4,United States,Am. Football
Georgia State,-5,-4,United States,Am. Football
Georgia Tech,-5,-4,United States,Am. Football
Grambling State,-6,-5,United States,Am. Football
Green Bay Packers,-6,-5,United States,Am. Football
Hampton,-5,-4,United States,Am. Football
Harvard,-5,-4,United States,Am. Football
Hawaii,-10,-9,United States,Am. Football
Holy Cross,-5,-4,United States,Am. Football
Houston,-5,-4,United States,Am. Football
Houston Baptist,-6,-5,United States,Am. Football
Houston Texans,-6,-5,United States,Am. Football
Howard,-5,-4,United States,Am. Football
Idaho,-8,-7,United States,Am. Football
Idaho State,-7,-6,United States,Am. Football
Illinois,-6,-5,United States,Am. Football
Illinois State,-6,-5,United States,Am. Football
Incarnate Word,-6,-5,United States,Am. Football
Indiana,-6,-5,United States,Am. Football
Indiana State,-5,-4,United States,Am. Football
Indianapolis Colts,-5,-4,United States,Am. Football
