confed,country,winter,summer
OFC,American Samoa,-11,-11
OFC,Cook Islands,-10,-10
OFC,Tahiti,-10,-10
CONCACAF,Belize,-6,-6
CONCACAF,Costa Rica,-6,-6
CONCACAF,Costa-Rica,-6,-6
CONCACAF,El Salvador,-6,-6
CONCACAF,El-Salvador,-6,-6
CONCACAF,Guatemala,-6,-6
CONCACAF,Honduras,-6,-6
CONCACAF,Nicaragua,-6,-6
CONCACAF,Cayman Islands,-5,-5
CONCACAF,Cayman-Islands,-5,-5
CONMEBOL,Colombia,-5,-5
CONMEBOL,Ecuador,-5,-5
CONCACAF,Jamaica,-5,-5
CONCACAF,Panama,-5,-5
CONMEBOL,Peru,-5,-5
CONCACAF,Anguilla,-4,-4
CONCACAF,Antigua and Barbuda,-4,-4
CONCACAF,Aruba,-4,-4
CONCACAF,Bahamas,-5,-4
CONCACAF,Barbados,-4,-4
CONMEBOL,Bolivia,-4,-4
CONCACAF,Bonaire,-4,-4
CONCACAF,British Virgin Islands,-4,-4
CONMEBOL,Chile,-3,-4
CONCACAF,Cuba,-5,-4
CONCACAF,Curaçao,-4,-4
CONCACAF,Dominica,-4,-4
CONCACAF,Dominican Republic,-4,-4
CONCACAF,Dominican-Republic,-4,-4
CONCACAF,Grenada,-4,-4
CONCACAF,Guadeloupe,-4,-4
CONCACAF,Guyana,-4,-4
CONCACAF,Haiti,-5,-4
CONCACAF,Martinique,-4,-4
CONCACAF,Montserrat,-4,-4
CONMEBOL,Paraguay,-3,-4
CONCACAF,Puerto Rico,-4,-4
CONCACAF,Puerto-Rico,-4,-4
CONCACAF,Saint Kitts and Nevis,-4,-4
CONCACAF,Saint Lucia,-4,-4
CONCACAF,Saint Martin,-4,-4
CONCACAF,Saint Vincent and the Grenadines,-4,-4
CONCACAF,Saint-Kitts-and-Nevis,-4,-4
CONCACAF,Saint-Lucia,-4,-4
CONCACAF,Saint-Martin,-4,-4
CONCACAF,Saint-Vincent-and-the-Grenadines,-4,-4
CONCACAF,Sint Maarten,-4,-4
CONCACAF,Sint-Maarten,-4,-4
CONCACAF,Trinidad and Tobago,-4,-4
CONCACAF,Trinidad-and-Tobago,-4,-4
CONCACAF,Turks and Caicos Islands,-5,-4
CONCACAF,Turks-and-Caicos-Islands,-5,-4
CONCACAF,U.S. Virgin Islands,-4,-4
CONMEBOL,Venezuela,-4,-4
CONMEBOL,Argentina,-3,-3
CONCACAF,Bermuda,-4,-3
CONCACAF,French Guiana,-3,-3
CONCACAF,French-Guiana,-3,-3
CONCACAF,Suriname,-3,-3
CONMEBOL,Uruguay,-3,-3
CAF,Cape Verde,-1,-1
CAF,Burkina Faso,0,0
CAF,Burkina-Faso,0,0
CAF,Ghana,0,0
CAF,Guinea,0,0
CAF,Guinea Bissau,0,0
CAF,Guinea-Bissau,0,0
UEFA,Iceland,0,0
CAF,Ivory Coast,0,0
CAF,Ivory-Coast,0,0
CAF,Liberia,0,0
CAF,Mali,0,0
